date,day_of_week,is_weekend,baseline_energy_kwh,optimized_energy_kwh,energy_saved_kwh,energy_saved_pct,solar_generated_kwh,peak_demand_shaved_kw,gross_electricity_cost_inr,optimized_net_bill_inr,bill_savings_inr,bill_saved_pct,solar_export_revenue_inr,carbon_emissions_avoided_kg,curtailment_z1_kwh,curtailment_z2_kwh,curtailment_z3_kwh,curtailment_z4_kwh,curtailment_ac_kwh,curtailment_light_kwh,curtailment_plug_kwh
2023-05-01,Monday,False,511.8,382.9,128.9,25.2,153.4,6.15,4540.43,2573.84,1966.59,43.3,0.0,92.32,8.7,109.2,2.5,8.7,118.7,0.3,9.9
2023-05-02,Tuesday,False,499.7,386.3,113.4,22.7,173.9,5.92,4433.14,2972.35,1460.79,33.0,0.02,81.18,6.6,97.8,2.4,6.6,103.5,0.4,9.5
2023-05-03,Wednesday,False,508.1,381.9,126.2,24.8,174.6,6.11,4507.87,3044.41,1463.46,32.5,0.0,90.32,9.7,104.1,2.5,9.7,114.5,1.5,10.1
2023-05-04,Thursday,False,517.9,390.5,127.5,24.6,164.0,5.97,4591.84,3204.45,1387.39,30.2,0.0,91.26,11.9,101.3,2.4,11.9,117.5,0.4,9.6
2023-05-05,Friday,False,493.0,389.1,103.9,21.1,182.5,5.7,4376.63,2836.82,1539.81,35.2,0.0,74.41,8.9,83.9,2.2,8.9,94.8,0.3,8.8
2023-05-06,Saturday,True,228.8,191.1,37.7,16.5,123.7,2.57,2036.72,998.52,1038.2,51.0,0.0,27.01,1.4,34.7,0.4,1.4,36.3,0.0,1.4
2023-05-07,Sunday,True,228.3,193.7,34.6,15.2,169.8,2.38,2031.47,944.18,1087.29,53.5,0.05,24.77,0.9,32.6,0.2,0.9,33.8,0.0,0.8
2023-05-08,Monday,False,512.2,382.6,129.7,25.3,155.0,6.15,4546.04,2790.36,1755.68,38.6,0.0,92.83,8.5,110.2,2.4,8.5,119.9,0.3,9.5
2023-05-09,Tuesday,False,492.8,369.5,123.3,25.0,168.2,5.97,4375.25,2953.29,1421.96,32.5,0.0,88.28,7.8,105.1,2.6,7.8,112.5,0.3,10.5
2023-05-10,Wednesday,False,508.1,399.9,108.2,21.3,189.3,6.11,4507.61,2905.44,1602.17,35.5,0.02,77.47,7.3,91.5,2.2,7.3,98.3,1.1,8.9
2023-05-11,Thursday,False,492.9,389.4,103.5,21.0,190.3,5.71,4376.53,2764.44,1612.09,36.8,0.02,74.08,9.0,83.1,2.3,9.0,94.1,0.3,9.1
2023-05-12,Friday,False,491.7,371.6,120.0,24.4,186.4,5.7,4365.24,2786.62,1578.62,36.2,0.0,85.94,11.6,94.2,2.5,11.6,109.5,0.3,10.2
2023-05-13,Saturday,True,227.7,193.2,34.6,15.2,175.3,2.4,2026.57,945.81,1080.76,53.3,0.04,24.75,0.9,32.5,0.2,0.9,33.7,0.0,0.8
2023-05-14,Sunday,True,223.1,191.6,31.5,14.1,174.8,2.2,1984.3,831.02,1153.28,58.1,0.07,22.53,2.6,26.3,0.0,2.6,31.5,0.0,0.0
2023-05-15,Monday,False,486.9,367.1,119.8,24.6,158.0,5.77,4326.09,2131.83,2194.26,50.7,0.0,85.75,11.8,93.9,2.3,11.8,110.2,0.3,9.3
2023-05-16,Tuesday,False,492.7,369.6,123.1,25.0,172.5,5.97,4374.55,2907.58,1466.97,33.5,0.0,88.15,7.8,104.9,2.6,7.8,112.3,0.3,10.5
2023-05-17,Wednesday,False,490.1,369.3,120.8,24.6,157.1,5.88,4351.77,3025.57,1326.2,30.5,0.0,86.48,9.9,98.4,2.7,9.9,108.6,1.4,10.8
2023-05-18,Thursday,False,503.1,391.7,111.4,22.1,159.3,5.85,4461.27,3143.07,1318.2,29.5,0.01,79.76,9.9,89.4,2.2,9.9,102.0,0.4,9.0
2023-05-19,Friday,False,488.9,391.3,97.6,20.0,191.1,5.65,4340.35,2718.04,1622.31,37.4,0.03,69.9,8.2,79.1,2.2,8.2,88.5,0.3,8.8
2023-05-20,Saturday,True,228.3,194.6,33.7,14.8,165.8,2.49,2031.98,958.51,1073.47,52.8,0.08,24.13,1.4,30.6,0.3,1.4,32.5,0.0,1.2
2023-05-21,Sunday,True,227.7,195.3,32.4,14.2,185.7,2.37,2026.67,838.06,1188.61,58.6,0.07,23.2,0.7,30.8,0.2,0.7,31.6,0.0,0.8
2023-05-22,Monday,False,498.9,373.9,125.0,25.0,166.5,5.99,4429.8,2166.87,2262.93,51.1,0.0,89.47,8.7,105.1,2.5,8.7,114.6,0.3,10.1
2023-05-23,Tuesday,False,499.7,374.2,125.5,25.1,152.7,5.98,4432.05,3139.22,1292.83,29.2,0.0,89.88,7.7,107.5,2.5,7.7,115.0,0.4,10.1
2023-05-24,Wednesday,False,482.8,388.1,94.7,19.6,191.1,5.74,4288.82,2657.34,1631.48,38.0,0.01,67.81,7.2,78.1,2.2,7.2,85.3,0.7,8.7
2023-05-25,Thursday,False,492.9,400.0,92.9,18.9,197.2,5.71,4376.85,2699.64,1677.21,38.3,0.0,66.55,7.4,76.1,2.1,7.4,84.2,0.3,8.3
2023-05-26,Friday,False,498.3,387.8,110.4,22.2,194.1,5.7,4419.94,2773.2,1646.74,37.3,0.01,79.07,9.7,88.7,2.2,9.7,101.1,0.3,9.0
2023-05-27,Saturday,True,228.3,193.5,34.8,15.2,159.7,2.55,2032.22,962.75,1069.47,52.6,0.05,24.9,1.6,31.1,0.6,1.6,32.6,0.0,2.2
2023-05-28,Sunday,True,226.0,192.0,34.0,15.1,168.2,2.31,2010.12,852.6,1157.52,57.6,0.02,24.35,0.9,32.0,0.2,0.9,33.2,0.0,0.8
2023-05-29,Monday,False,498.0,374.0,124.0,24.9,157.8,6.0,4423.26,2432.37,1990.89,45.0,0.0,88.78,8.8,103.9,2.6,8.8,113.4,0.3,10.3
2023-05-30,Tuesday,False,493.9,381.9,112.0,22.7,189.2,5.9,4383.65,2776.1,1607.55,36.7,0.02,80.18,6.5,96.6,2.4,6.5,102.2,0.3,9.5
